,text,adopted text,ids,source
10, ,"Informally, the algorithm proceeds as follows. For each node u, its state s(u) alternates between 1 and 0, initially, s(u) ← 1 and c(u) ← ⊥:
When s(u) = 1, the node receives the set of messages M(u), it then decides with probability 0.5 to be passive and set c(u) = ⊥ or to be active and pick a random color c(u) ∈ F(u), where F(u) = C(u)\M(u) is the set of free colors.. Next, it sets s(u) ← 0. 
When s(u) = 0, the node receives the set of messages M(u), it then verifies its choice. If the current color c(u) conflicts with one of the neighbors (c(u) ∈ M(u)), we go back to the initial state s(u) ← 1 and c(u) ← ⊥. However, if we were lucky and managed to pick a color that does not conflict with any of our neighbors, we keep the current value of c(u) and switch to the stopping state s(u) = 1 and c(u) ̸= ⊥.",11,Juho Hirvonen and Jukka Suomela. 2025.Distributed Algorithms
11,"The filesystem looks like an upside down tree. The topmost directory is the root directory that holds everything else. We refer to it using a slash character, /, on its own; this character is the leading slash in /Users/nelle.

Inside that directory are several other directories: bin (which is where some built-in programs are stored), data (for miscellaneous data files), Users (where users’ personal directories are located), tmp (for temporary files that don’t need to be stored long-term), and so on.

","The filesystem looks like an upside down tree. The topmost directory is the root directory that holds everything else. We refer to it using a slash character, /. Inside the root directory are several other directories: bin (which is where some built-in programs are stored), data (for miscellaneous data files), Users (where users’ personal directories are located), tmp (for temporary files that don’t need to be stored long-term).

",12,Benson Muite Pariksheet Nanda Amanda Kis. 2025. The Unix Shell: Summary and Setup
12,"Write Two New Rules
Write a new rule for last.dat, created from books/last.txt.
Update the dats rule with this target.
Write a new rule for results.txt, which creates the summary table. The rule needs to:
Depend upon each of the three .dat files.
Invoke the action python testzipf.py abyss.dat isles.dat last.dat > results.txt.
Put this rule at the top of the Makefile so that it is the default target.
Update clean so that it removes results.txt.","Task: Write Two New Rules
1 Write a new rule for ‘last.dat’, created from ‘books/last.txt’.
2 Update the ‘dats’ rule with this target.
3 Write a new rule for ‘results.txt’, which creates the summary table. The rule needs to depend upon each of the three ‘.dat’ files and invoke the action ‘python testzipf.py abyss.dat isles.dat last.dat > results.txt’.
4 Put this rule at the top of the ‘Makefile’ so that it is the default target.
5 Update ‘clean’ so that it removes ‘results.txt’.",13,Gerard Capes. 2025. Automation and Make: Summary and Setup
13,"The await block consists of three parts. The first part is the #await block that includes the expression that is awaited. Inside the #await block, there are two blocks that are executed depending on whether the promise is resolved or rejected. For the resolved promise, there is a :then block that is executed, while for the rejected promise, there is a :catch block that is executed.","The 'await' block consists of three parts. The first part is given an expression that evaluates to a promise that is awaited. The content of the first part is shown when the promise has not yet been resolved. The second part is ':then', which has content that is shown if the promise successfully resolves. The third part is ':catch', which has content that is shown if there is an error when resolving the promise.",14,Arto Hellas. 2025. Web software development [online course materials].
14,"Check your data for factors
In recent times, the default way how R handles textual data has changed. Text data was interpreted by R automatically into a format called “factors”. But there is an easier format that is called “character”. We will hear about factors later, and what to use them for. For now, remember that in most cases, they are not needed and only complicate your life, which is why newer R versions read in text as “character”. Check now if your version of R has automatically created factors and convert them to “character” format:

Check the data types of your input by typing str(cats)
In the output, look at the three-letter codes after the colons: If you see only “num” and “chr”, you can continue with the lesson and skip this box. If you find “fct”, continue to step 3.
Prevent R from automatically creating “factor” data. That can be done by the following code: options(stringsAsFactors = FALSE). Then, re-read the cats table for the change to take effect.
You must set this option every time you restart R. To not forget this, include it in your analysis script before you read in any data, for example in one of the first lines.
For R versions greater than 4.0.0, text data is no longer converted to factors anymore. So you can install this or a newer version to avoid this problem. If you are working on an institute or company computer, ask your administrator to do it.","How to check your data for factors
How to check if your version of R has automatically created factors and convert them to ‘character’ format:
1. Check the data types of your input by typing str(cats)
2. In the output, look at the three-letter codes after the colons: If you see only ‘num’ and ‘chr’, the data type is ‘character’ and no further action is needed. If you find ‘fct’ in the output, continue to Step 3.
3. Prevent R from automatically creating “factor” data by the following code: ‘options(stringsAsFactors = FALSE)’. 
4. Re-read the cats table for the change to take effect.
5. You’re done!
",15,"Naupaka Zimmerman and Sehrish Kanwal and Matthieu Bruneaux and Craig Gross. R for Reproducible Scientific Analysis, 2025"
15,"During the early web, server-side functionality was developed in an ad-hoc manner. This lack of structure highlighted the need for a better approach, leading to the emergence of web frameworks. The early 2000s saw the rise of frameworks such as Struts, Spring, Ruby on Rails, and Django.

These frameworks introduced a structured flow for handling web requests, similar to the applications built in this course. In essence, when a request is received, it is mapped to a route, which is then processed by a controller. The controller interacts with a repository layer to perform database operations, and the resulting data is returned to the controller. The response is then formatted (e.g., as HTML or JSON) and sent back to the client.

Although the specific implementations and terminologies varied between frameworks, the underlying concept remained consistent.","Web frameworks introduced a structured flow for handling web requests. In essence, when a request is received, it is mapped to a route, which is then processed by a controller. The controller interacts with a repository layer to perform database operations, and the resulting data is returned to the controller. The response is then formatted (e.g., as HTML or JSON) and sent back to the client.",16,Arto Hellas. 2025. Web software development [online course materials].
,"A web application that allows interacting with a database consists of three parts: a client-side application, a server-side application, and a database. The client-side application provides an user interface and has the functionality to send requests to the server-side application and to display the responses to the user. The server-side application has API endpoints that the client-side application interacts with and that provide the functionality for communicating with the database. The database, typically, is a stand-alone software that can be interacted with.","A web application that allows interacting with a database consists of three parts: a client-side application, a server-side application, and a database. The client-side application provides an user interface and has the functionality to send requests to the server-side application and to display the responses to the user. The server-side application has API endpoints that the client-side application interacts with and that provide the functionality for communicating with the database. The database, typically, is a stand-alone software that can be interacted with.",17,Arto Hellas. 2025. Web software development [online course materials].
,"Cross-site scripting (XSS) is a specific type of injection attack found in web applications. In cross-site scripting, the site provides an attacker the possibility of injecting client-side scripts into the application, which are then executed on other users' computers as they access the application. 
The starting point of an XSS attack is injecting code to the application. This can be done through, for example, a form or an API endpoint. Contrary to SQL injection and other injection flaws, cross-site scripting does not lead to the code being executed on the server. The server simply stores the code.
Once the code is stored on the server, the server compromises its users. Whenever a user requests content from the server that has the malicious code, the server responds to the request normally, sending the content to the user. Now, when the user retrieves the content with the malicious code, the content will be processed by the browser and the code will be executed. This can, for example, lead to the browser crashing, or to worse effects such as compromising content stored within the browser.","Cross-site scripting (XSS) is a specific type of injection attack found in web applications. In XSS, the site allows an attacker a possibility of injecting client-side scripts into the application, which are then executed on other users' computers as they access the application. 
The starting point of an XSS attack is injecting code to the application. This can be done through, for example, a form or an API endpoint. Unlike SQL injection, XSS does not lead to the code being executed on the server, instead, it is simply stored. This results in the server compromising its users. Whenever a user requests content from the server that has the malicious code, the server responds to the request normally, by sending the content to the user. Now, when the user retrieves the content with the malicious code, the content will be processed by the browser and the code will be executed. This can, for example, lead to the browser crashing or to worse effects such as compromising content stored within the browser.",18,Arto Hellas. 2025. Web software development [online course materials].
,"Overwriting Plots
If you run pdf multiple times without running dev.off, you will save plots to the most recently opened file. However, you won’t be able to open the previous pdf files because the connections were not closed. In order to get out of this situation, you’ll need to run dev.off until all the pdf connections are closed. You can check your current status using the function dev.cur. If it says “pdf”, all your plots are being saved in the last pdf specified. If it says “null device” or “RStudioGD”, the plots will be visualized normally.","How to Prevent Overwriting Plots in R
If you run ‘pdf’ multiple times without running ‘dev.off’, you will save plots to the most recently opened file. However, you won’t be able to open the previous ‘pdf’ files because the connections were not closed. You can take steps to prevent this.

First, you can check your current status using the function ‘dev.cur’. If it says “pdf”, all your plots are being saved in the last pdf specified. In order to get out of this situation, you’ll need to run dev.off until all the ‘pdf’ connections are closed. If the current status says “null device” or “RStudioGD”, the plots will be visualized as intended without overwriting.",19,"Thomas Cason and Rohit Goswami and Hugo Gruson and Katie O'Mahony. Programming with R, 2025"
,"We may occasionally want to emphasize the distinction between
“Monte Carlo” and “Las Vegas” type algorithms:
• Monte Carlo: Algorithm A always stops in time T(n); the output
is a correct solution to problem Π with probability p.
• Las Vegas: Algorithm A stops in time T(n) with probability p; when
it stops, the output is always a correct solution to problem Π.



We will use the word failure to refer to the event that the algorithm did
not meet its guarantees—in the case of a Las Vegas algorithm, it did not
stop in time T(n), and in the case of Monte Carlo algorithms, it did not
produce a correct output. The word success refers to the opposite case.","We may want to emphasize the distinction between “Monte Carlo” and “Las Vegas” type algorithms:
• Monte Carlo: Algorithm A always stops in time T(n); the output is a correct solution to problem Π with probability p. 
• Las Vegas: Algorithm A stops in time T(n) with probability p; when it stops, the output is always a correct solution to problem Π.

In the event that the algorithm did not meet its guarantees—in the case of a Las Vegas algorithm, it did not stop in time T(n), and in the case of Monte Carlo algorithms, it did not produce a correct output.",20,Juho Hirvonen and Jukka Suomela. 2025.Distributed Algorithms
,"The basic theory is relatively easy to understand. Almost everybody is familiar with the centuries old board game Snakes and Ladders. In this, there is a board with a hundred and one numbered squares on it, and players advance from the start (i.e. 0) to 100 by repeatedly throwing dice and using the numbers they obtain. The first player to 100 wins. On the board there are some 'snakes' and some 'ladders'. These connect pairs of numbers, usually separated by 5 to 20 intervening numbers. The heads of the individual snakes are higher— of a higher number— than the tails. If a player lands on the head of a snake, they have to go backwards to the tails, losing some of their advance. If a player lands on the base of a ladder, they advance to the top of that ladder. Consider just one player, and one die, and assume the player throws a 5. This may advance the player 5 spaces, but it also may send the player back some spaces or it may send the player forward more spaces than 5. What happens depends in part on what square the player is on. Throwing a 5 when on square 15 might produce an entirely different result, in terms of going forward or backward, than throwing a 5 when on square 32. The square that the player is on is the state. The throw of the single die will produce one of six numbers. This will move the player to one of six other states. The values of the throws (in this case) are equally probable, and so there are six equally probable non-zero transition probabilities from the current state to the next state. What happens with a throw depends only on the current state (and the value of the throw). It does not depend on the state before the current state, or any before that, i.e. on the history of the individual game. For example, if a player is on square 27, state 27, that is all that matters— it does not matter how the player got to 27. Snakes and Ladders play is an example of a Markov Chain. Conceptually, there is usually time, or a time step, or time beats, involved in producing the sequence of states in a Markov Chain. If we wanted to build that into the example, we could just require that the player throws the die every 30 seconds. There are a few other details that can be added to the Snakes and Ladders example to make it closer to Markov Chain theory. There is usually a start state, or a probability among the states for one being the start state. So, the zero square would have a probability of 1 of being the start state (and the other states 1-100 probability zero). Similarly, there might be a terminal state. If so, there would be no transition probabilities for a move out of the 100 square. Also, it is not possible to rest on the foot of a ladder or the head of a snake (because the player would be required to move on elsewhere). This could be represented either by having no transition probabilities that end with the foot of a ladder, or the head of a snake, and including the jumps in with the dice values, or just by omitting those 'states' altogether. Summing up Markov Chains, there is a sequence of events, states, transition probabilities, and the dependence on the state is just with the current state. This latter is the key feature of Markov Chains, the dependency is with a single state only, the current state, and not with earlier states. (Sometimes this is called the Markov Property.)","Everybody is familiar with the centuries old board game Snakes and Ladders, which is an example of a Markov Chain. In a nutshell, there is a board with a hundred and one numbered squares on it (some of which are ‘snakes’ and ‘leaders’), which can be considered states. The game proceeds as follows. Players advance from the start state of 0 by throwing dice and using the numbers they obtain to move ahead to a new state (with the equal probability of 1/6) until they reach the terminal state of 100. When moving to a new state, they can advance to an ordinary state or one of the two special states: ‘snakes’ or ‘ladders’. If a player’s new state is the head of a snake, they have to go backwards, losing some of their advance. If it is the base of a ladder, they advance to the top of that ladder.",21,Martin Frické. 2024. Artificial Intelligence and Librarianship: Notes for Teaching (3rd ed.)
,"An observational study is one in which data is produced by naturally occurring processes (we’ll call them data-generating processes, or DGPs) and then collected by the researcher. Crucially, the experimenter plays no role in influencing what any of the variable values are, whether that be the i.v. , the d.v. , other related variables, or even possible confounders. Everything just is what it is, and the researcher is simply observing.   Now at first this sounds like the best of all possible worlds. Scientists are supposed to be objective, and to do everything they can to avoid biasing the results, right? True, but the sad fact is that every observational study has potential confounding factors and there’s simply no foolproof way to account for them all. If you knew them all, you could potentially account for them. But in general we don’t know. It all hinges on our cleverness, which is a bit like rolling the dice.  A controlled experiment, on the other hand, is one in which the researcher decides what the value of the i.v. will be for each object of study. She normally does this randomly, which is why this technique is called randomization.Now controlled experiments bear some good news and some bad news. First, the good news, which is incredibly good, actually: a controlled experiment automatically eliminates every possible confounding factor, whether you thought of it or not. Wow: magic!  We get this boon because of how the i.v. works. The researcher’s coin flip is the sole determinant of who gets which i.v. value. That means that no other factor can be “upstream” of the coin flip and influence it in any way. And this in turn nullifies all possible confounding factors, since as you recall, a confounder must affect both the i.v. and the d.v.","An observational study is one in which data is produced by naturally occurring processes (we’ll call them data-generating processes, or DGPs) and then collected by the researcher. Crucially, the experimenter has no way to influence any of the variables. The sad fact is that every observational study has potential confounding factors and there’s simply no foolproof way to account for them all.   A controlled experiment, on the other hand, is one in which the researcher decides what the value of the independent variable will be for each object of study. She normally does this randomly, which is why this technique is called randomization. The good news is that a controlled experiment automatically eliminates every possible confounding factor, whether you thought of it or not.",22,Stephen Davies. 2020. The Crystal Ball Instruction Manual - version 1.1 Volume One: Introduction to Data Science 
,"In the supervised setting, our most common machine learning activities will be classification and regression. In each one, our job is to predict the value of the target attribute for a new object, based on the previous example objects we’ve seen. The only difference is the scale of measure of the target variable: if it’s categorical, we’re performing classification, and our goal is to build a classifier: an algorithm (basically, a Python function) that can classify future examples by guessing their target value. If the target variable is numeric, then we have regression, and our goal is to make the closest guess we can to the true target value.","In the supervised setting, our most common machine learning activities will be classification and regression. In each one, our job is to predict the value of the target attribute for a new object, based on the previous example objects we’ve seen. The only difference is the scale of measure of the target variable: if it’s categorical, we’re performing classification, and our goal is to build a classifier: an algorithm that can classify future examples by guessing their target value. If the target variable is numeric, then we have regression, and our goal is to make the closest guess we can to the true target value.",23,Stephen Davies. 2020. The Crystal Ball Instruction Manual - version 1.1 Volume One: Introduction to Data Science 
,"A related topic often appears in discussions of dynamic programming. The main advantage of dynamic programming comes from storing the result of costly calculations that may need to be queried later. The technique known as memoization does this in an elegant way. One approach to memoization allows for a function to keep a cache of tried arguments. Each time the function is called with a specific set of arguments, the cache can be queried to see if that result is known. If the specific combination of arguments has been used before, the result is simply returned from the cache. If the arguments have not been seen before, the calculation proceeds as normal. Once the result is calculated, the function updates the cache before returning the value. This will save work for the next time the function is called with the same arguments. The cache could be implemented as a table or hash table.","The main advantage of dynamic programming comes from storing the result of costly calculations that may need to be queried later. The technique known as memoization does this in an elegant way. One approach to memoization allows for a function to keep a cache of tried arguments. Each time the function is called with a specific set of arguments, the cache can be queried to see if that result is known. If the specific combination of arguments has been used before, the result is simply returned from the cache. If the arguments have not been seen before, the calculation proceeds as normal. Once the result is calculated, the function updates the cache before returning the value. This will save work for the next time the function is called with the same arguments. The cache could be implemented as a table or hash table.",24,Paul W. Bible and Lucas Moser. 2023. An Open Guide to Data Structures and Algorithms
,"TCP, like most connection-oriented transport protocols, supports two types of connection release : • graceful connection release, where each TCP user can release its own direction of data transfer • abrupt connection release, where either one user closes both directions of data transfer or one TCP entity is forced to close the connection (e.g. because the remote host does not reply anymore or due to lack of resources) The abrupt connection release mechanism is very simple and relies on a single segment having the RST bit set. A TCP segment containing the RST bit can be sent for the following reasons : • a non-SYN segment was received for a non-existing TCP connection RFC 793 • by extension, some implementations respond with an RST segment to a segment that is received on an existing connection but with an invalid header RFC 3360. This causes the corresponding connection to be closed and has caused security attacks RFC 4953 • by extension, some implementations send an RST segment when they need to close an existing TCP connection (e.g. because there are not enough resources to support this connection or because the remote host is considered to be unreachable). Measurements have shown that this usage of TCP RST was widespread [AW05]","TCP, like most connection-oriented transport protocols, supports two types of connection release : • graceful connection release, where each TCP user can release its own direction of data transfer • abrupt connection release, where either one user closes both directions of data transfer or one TCP entity is forced to close the connection (e.g. because the remote host does not reply anymore or due to lack of resources) The abrupt connection release mechanism is very simple and relies on a single segment having the RST bit set. A TCP segment containing the RST bit can be sent for the following reasons: • a non-SYN segment was received for a non-existing TCP connection RFC 793 • by extension, some implementations respond with an RST segment to a segment that is received on an existing connection but with an invalid header RFC 3360. This causes the corresponding connection to be closed and has caused security attacks RFC 4953 • by extension, some implementations send an RST segment when they need to close an existing TCP connection (e.g. because there are not enough resources to support this connection or because the remote host is considered to be unreachable). Measurements have shown that this usage of TCP RST was widespread.",25,"Olivier Bonaventure. 2011. Computer Networking : Principles, Protocols and Practice"
